speed,Nordex_N131_3000
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0
1.57,0
1.58,0
1.59,0
1.6,0
1.61,0
1.62,0
1.63,0
1.64,0
1.65,0
1.66,0
1.67,0
1.68,0
1.69,0
1.7,0
1.71,0
1.72,0
1.73,0
1.74,0
1.75,0
1.76,0
1.77,0
1.78,0
1.79,0
1.8,0
1.81,0
1.82,0
1.83,0
1.84,0
1.85,0
1.86,0
1.87,0
1.88,0
1.89,0
1.9,0
1.91,0
1.92,0
1.93,0
1.94,0
1.95,0
1.96,0
1.97,0
1.98,0
1.99,0
2,0
2.01,0
2.02,0
2.03,0
2.04,0
2.05,0
2.06,0
2.07,0
2.08,0
2.09,0
2.1,0
2.11,0
2.12,0
2.13,0
2.14,0
2.15,0
2.16,0
2.17,0
2.18,0
2.19,0
2.2,0
2.21,0
2.22,0
2.23,0
2.24,0
2.25,0
2.26,0
2.27,0
2.28,0
2.29,0
2.3,0
2.31,0
2.32,0
2.33,0
2.34,0
2.35,0
2.36,0
2.37,0
2.38,0
2.39,0
2.4,0
2.41,0
2.42,0
2.43,0
2.44,0
2.45,0
2.46,0
2.47,0
2.48,0
2.49,0
2.5,0
2.51,0
2.52,0.000170032
2.53,0.000263327
2.54,0.00036215
2.55,0.000466509
2.56,0.000576408
2.57,0.000691856
2.58,0.000812859
2.59,0.000939424
2.6,0.001071558
2.61,0.001209266
2.62,0.001352556
2.63,0.001501435
2.64,0.001655909
2.65,0.001815985
2.66,0.00198167
2.67,0.00215297
2.68,0.002329893
2.69,0.002512444
2.7,0.00270063
2.71,0.002894459
2.72,0.003093937
2.73,0.00329907
2.74,0.003509866
2.75,0.00372633
2.76,0.003948471
2.77,0.004176294
2.78,0.004409806
2.79,0.004649014
2.8,0.004893924
2.81,0.005144544
2.82,0.00540088
2.83,0.005662938
2.84,0.005930726
2.85,0.00620425
2.86,0.006483516
2.87,0.006768533
2.88,0.007059305
2.89,0.00735584
2.9,0.007658145
2.91,0.007966227
2.92,0.008280091
2.93,0.008599745
2.94,0.008925196
2.95,0.009256449
2.96,0.009593513
2.97,0.009936393
2.98,0.010285096
2.99,0.01063963
3,0.011
3.01,0.011366198
3.02,0.011738153
3.03,0.012115778
3.04,0.012498987
3.05,0.012887694
3.06,0.013281811
3.07,0.013681253
3.08,0.014085933
3.09,0.014495764
3.1,0.01491066
3.11,0.015330534
3.12,0.0157553
3.13,0.016184872
3.14,0.016619162
3.15,0.017058085
3.16,0.017501554
3.17,0.017949482
3.18,0.018401783
3.19,0.01885837
3.2,0.019319158
3.21,0.019784058
3.22,0.020252986
3.23,0.020725854
3.24,0.021202575
3.25,0.021683064
3.26,0.022167234
3.27,0.022654999
3.28,0.023146271
3.29,0.023640964
3.3,0.024138992
3.31,0.024640269
3.32,0.025144708
3.33,0.025652222
3.34,0.026162724
3.35,0.026676129
3.36,0.02719235
3.37,0.027711301
3.38,0.028232894
3.39,0.028757043
3.4,0.029283663
3.41,0.029812665
3.42,0.030343965
3.43,0.030877475
3.44,0.031413108
3.45,0.031950779
3.46,0.032490401
3.47,0.033031887
3.48,0.033575151
3.49,0.034120107
3.5,0.034666667
3.51,0.035214765
3.52,0.035764418
3.53,0.036315659
3.54,0.036868525
3.55,0.03742305
3.56,0.03797927
3.57,0.03853722
3.58,0.039096935
3.59,0.039658451
3.6,0.040221803
3.61,0.040787027
3.62,0.041354157
3.63,0.041923229
3.64,0.042494278
3.65,0.04306734
3.66,0.04364245
3.67,0.044219642
3.68,0.044798953
3.69,0.045380418
3.7,0.045964072
3.71,0.04654995
3.72,0.047138088
3.73,0.047728521
3.74,0.048321284
3.75,0.048916412
3.76,0.049513941
3.77,0.050113907
3.78,0.050716344
3.79,0.051321287
3.8,0.051928773
3.81,0.052538835
3.82,0.053151511
3.83,0.053766834
3.84,0.054384841
3.85,0.055005566
3.86,0.055629045
3.87,0.056255313
3.88,0.056884405
3.89,0.057516357
3.9,0.058151204
3.91,0.058788982
3.92,0.059429725
3.93,0.060073469
3.94,0.060720249
3.95,0.0613701
3.96,0.062023059
3.97,0.062679159
3.98,0.063338437
3.99,0.064000928
4,0.064666667
4.01,0.065335682
4.02,0.066007973
4.03,0.066683535
4.04,0.067362359
4.05,0.068044441
4.06,0.068729772
4.07,0.069418346
4.08,0.070110156
4.09,0.070805197
4.1,0.07150346
4.11,0.07220494
4.12,0.072909629
4.13,0.073617521
4.14,0.07432861
4.15,0.075042888
4.16,0.075760349
4.17,0.076480986
4.18,0.077204792
4.19,0.077931762
4.2,0.078661887
4.21,0.079395162
4.22,0.080131579
4.23,0.080871132
4.24,0.081613815
4.25,0.08235962
4.26,0.083108541
4.27,0.083860572
4.28,0.084615704
4.29,0.085373933
4.3,0.08613525
4.31,0.08689965
4.32,0.087667126
4.33,0.088437671
4.34,0.089211278
4.35,0.089987941
4.36,0.090767652
4.37,0.091550406
4.38,0.092336195
4.39,0.093125014
4.4,0.093916854
4.41,0.094711709
4.42,0.095509574
4.43,0.09631044
4.44,0.097114302
4.45,0.097921153
4.46,0.098730985
4.47,0.099543793
4.48,0.100359569
4.49,0.101178307
4.5,0.102
4.51,0.102824647
4.52,0.103652265
4.53,0.104482879
4.54,0.105316512
4.55,0.106153188
4.56,0.106992929
4.57,0.10783576
4.58,0.108681703
4.59,0.109530783
4.6,0.110383023
4.61,0.111238446
4.62,0.112097076
4.63,0.112958936
4.64,0.113824051
4.65,0.114692442
4.66,0.115564134
4.67,0.11643915
4.68,0.117317515
4.69,0.11819925
4.7,0.11908438
4.71,0.119972928
4.72,0.120864919
4.73,0.121760374
4.74,0.122659318
